Sample;Mean_horizon_nb;mean_O_thickness;mean_A_thickness;mean_T1_thickness;mean_T2_thickness;mean_T3_thickness;mean_J_thickness;Sand_pourcentage;Loam_pourcentage;Clay_pourcentage;Therophyte_pourcentage;Geophyte_pourcentage;Hemicroptophyte_pourcentage;Chamephyte_pourcentage;lianescent_pourcentage;Phanerophyte_pourcentage;Helophyte_pourcentage;Panels;Late_mowing;Dead_wood;Cut;Plantation;Elagage;ZNIEFF;Leisure_facilities
DM.1;3;10;37;30;0;0;0;76,1;17,4;6,5;5,6;0;5,6;11,1;11,1;55,6;5,6;1;1;1;1;1;0;1;1
DM.2;3;19,3;20;22,3;0;0;0;66,7;13,3;20;0;7,7;15,4;15,4;7,7;53,8;0;1;1;1;1;1;0;1;1
DM.3;3;10,3;27,3;20;9;0;0;71,7;15,2;13;3,8;3,8;15,4;7,7;3,8;53,8;0;1;1;1;1;1;0;1;1
Be.1;2,3;14,7;33;12,3;0;0;0;64,3;21,4;14,3;19,4;2,8;66,7;0;0;8,3;2,8;1;0;0;1;1;0;0;1
Be.2;2,7;6,3;25,7;8;5,3;0;20;46,6;12,1;41,4;23,1;0;46,2;0;7,7;23,1;0;1;0;0;1;1;0;0;1
Be.3;2,7;4;14;16;6;0;20;44,1;14,7;41,2;28;0;64;0;0;8;0;1;0;0;1;1;0;0;1
La.1;2,7;4,3;26,3;18,3;0;0;11,3;0;91,9;8,1;0;20;10;0;10;40;0;1;1;1;1;1;1;1;0
La.2;3;4;12;47,3;0;0;0;54,4;17,6;27,9;6,7;6,7;0;6,7;13,3;53,3;0;1;1;1;1;1;1;1;0
La.3;3,7;3,3;24,3;11,3;15,3;5,7;0;81;8,6;10,3;0;11,1;0;11,1;11,1;55,6;0;1;1;1;1;1;1;1;0
Ri.1;4;3,7;22,3;21,3;7,7;6;0;48,4;24,2;27,4;7,7;0;53,8;0;7,7;30,8;0;1;0;0;1;1;0;0;0
Ri.2;2,3;4,3;44,7;11;0;0;0;71,9;6,3;21,9;7,1;7,1;42,9;0;0;35,7;0;1;0;0;1;1;0;0;1
Ri.3;4;3,3;19;23,7;9,7;5;0;46,8;21,3;31,9;11,1;22,2;33,3;0;11,1;22,2;0;1;0;0;1;1;0;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;1
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
